"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Meeting Organizer","Required Attendees","Optional Attendees","Meeting Resources","Billing Information","Categories","Description","Location","Mileage","Priority","Private","Sensitivity","Show time as"
"6200:250:002 Spreadsheet Modeling and Decision Analysis","8/23/2022","10:45:00 AM","8/23/2022","12:00:00 PM","False","False","8/23/2022","10:30:00 AM",,,,,,," 

","Prof. Mark Welfley",,"Normal","False","Normal","2"
"6200:250:002 Spreadsheet Modeling and Decision Analysis","8/25/2022","10:45:00 AM","8/25/2022","12:00:00 PM","False","False","8/25/2022","10:30:00 AM",,,,,,," 

","Prof. Mark Welfley",,"Normal","False","Normal","2"
"6200:250:801 Spreadsheet Modeling and Decision Analysis","8/23/2022","5:15:00 PM","8/23/2022","6:30:00 PM","False","False","8/23/2022","5:00:00 PM",,,,,,," 

","Michael Stuart",,"Normal","False","Normal","2"
"6200:250:801 Spreadsheet Modeling and Decision Analysis","8/25/2022","5:15:00 PM","8/25/2022","6:30:00 PM","False","False","8/25/2022","5:00:00 PM",,,,,,," 

","Michael Stuart",,"Normal","False","Normal","2"
"6200:250:001 Spreadsheet Modeling and Decision Analysis","8/23/2022","9:15:00 AM","8/23/2022","10:30:00 AM","False","False","8/23/2022","9:00:00 AM",,,,,,," 

","Prof. Mark Welfley",,"Normal","False","Normal","2"
"6200:250:001 Spreadsheet Modeling and Decision Analysis","8/25/2022","9:15:00 AM","8/25/2022","10:30:00 AM","False","False","8/25/2022","9:00:00 AM",,,,,,," 

","Prof. Mark Welfley",,"Normal","False","Normal","2"
"6200:250:802 Spreadsheet Modeling and Decision Analysis","8/22/2022","5:15:00 PM","8/22/2022","6:30:00 PM","False","False","8/22/2022","5:00:00 PM",,,,,,," 

","Prof. James Predmore",,"Normal","False","Normal","2"
"6200:250:802 Spreadsheet Modeling and Decision Analysis","8/24/2022","5:15:00 PM","8/24/2022","6:30:00 PM","False","False","8/24/2022","5:00:00 PM",,,,,,," 

","Prof. James Predmore",,"Normal","False","Normal","2"
"6200:250:004 Spreadsheet Modeling and Decision Analysis","8/22/2022","3:30:00 PM","8/22/2022","4:45:00 PM","False","False","8/22/2022","3:15:00 PM",,,,,,," 

","Prfo. James Predmore",,"Normal","False","Normal","2"
"6200:250:004 Spreadsheet Modeling and Decision Analysis","8/24/2022","3:30:00 PM","8/24/2022","4:45:00 PM","False","False","8/24/2022","3:15:00 PM",,,,,,," 

","Prfo. James Predmore",,"Normal","False","Normal","2"
"6200:250:003 Spreadsheet Modeling and Decision Analysis","8/22/2022","2:00:00 PM","8/22/2022","3:15:00 PM","False","False","8/22/2022","1:45:00 PM",,,,,,," 

","Prof. James Predmore",,"Normal","False","Normal","2"
"6200:250:003 Spreadsheet Modeling and Decision Analysis","8/24/2022","2:00:00 PM","8/24/2022","3:15:00 PM","False","False","8/24/2022","1:45:00 PM",,,,,,," 

","Prof. James Predmore",,"Normal","False","Normal","2"

"6200:250:002 Spreadsheet Modeling and Decision Analysis","8/23/2022","10:45:00 AM","8/23/2022","12:00:00 PM","False","False","8/23/2022","10:30:00 AM",,,,,,," 

","Prof. Mark Welfley",,"Normal","False","Normal","2"
"6200:250:002 Spreadsheet Modeling and Decision Analysis","8/25/2022","10:45:00 AM","8/25/2022","12:00:00 PM","False","False","8/25/2022","10:30:00 AM",,,,,,," 

","Prof. Mark Welfley",,"Normal","False","Normal","2"
"6200:250:801 Spreadsheet Modeling and Decision Analysis","8/23/2022","5:15:00 PM","8/23/2022","6:30:00 PM","False","False","8/23/2022","5:00:00 PM",,,,,,," 

","Michael Stuart",,"Normal","False","Normal","2"
"6200:250:801 Spreadsheet Modeling and Decision Analysis","8/25/2022","5:15:00 PM","8/25/2022","6:30:00 PM","False","False","8/25/2022","5:00:00 PM",,,,,,," 

","Michael Stuart",,"Normal","False","Normal","2"
"6200:250:001 Spreadsheet Modeling and Decision Analysis","8/23/2022","9:15:00 AM","8/23/2022","10:30:00 AM","False","False","8/23/2022","9:00:00 AM",,,,,,," 

","Prof. Mark Welfley",,"Normal","False","Normal","2"
"6200:250:001 Spreadsheet Modeling and Decision Analysis","8/25/2022","9:15:00 AM","8/25/2022","10:30:00 AM","False","False","8/25/2022","9:00:00 AM",,,,,,," 

","Prof. Mark Welfley",,"Normal","False","Normal","2"
"6200:250:802 Spreadsheet Modeling and Decision Analysis","8/22/2022","5:15:00 PM","8/22/2022","6:30:00 PM","False","False","8/22/2022","5:00:00 PM",,,,,,," 

","Prof. James Predmore",,"Normal","False","Normal","2"
"6200:250:802 Spreadsheet Modeling and Decision Analysis","8/24/2022","5:15:00 PM","8/24/2022","6:30:00 PM","False","False","8/24/2022","5:00:00 PM",,,,,,," 

","Prof. James Predmore",,"Normal","False","Normal","2"
"6200:250:004 Spreadsheet Modeling and Decision Analysis","8/22/2022","3:30:00 PM","8/22/2022","4:45:00 PM","False","False","8/22/2022","3:15:00 PM",,,,,,," 

","Prfo. James Predmore",,"Normal","False","Normal","2"
"6200:250:004 Spreadsheet Modeling and Decision Analysis","8/24/2022","3:30:00 PM","8/24/2022","4:45:00 PM","False","False","8/24/2022","3:15:00 PM",,,,,,," 

","Prfo. James Predmore",,"Normal","False","Normal","2"
"6200:250:003 Spreadsheet Modeling and Decision Analysis","8/22/2022","2:00:00 PM","8/22/2022","3:15:00 PM","False","False","8/22/2022","1:45:00 PM",,,,,,," 

","Prof. James Predmore",,"Normal","False","Normal","2"
"6200:250:003 Spreadsheet Modeling and Decision Analysis","8/24/2022","2:00:00 PM","8/24/2022","3:15:00 PM","False","False","8/24/2022","1:45:00 PM",,,,,,," 

","Prof. James Predmore",,"Normal","False","Normal","2"
